combo_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
394,60,60,60,54,54,54,54,54,48,48,48,48,48,36,36
395,60,60,60,54,54,54,54,54,48,48,48,48,36,36,36
396,60,60,60,54,54,54,54,54,48,48,48,36,36,36,36
397,60,60,60,54,54,54,54,54,48,48,36,36,36,36,36
398,60,60,60,54,54,54,54,54,48,36,36,36,36,36,36
399,60,60,60,54,54,54,54,54,36,36,36,36,36,36,36
400,60,60,60,54,54,54,54,48,48,48,48,48,48,48,48
401,60,60,60,54,54,54,54,48,48,48,48,48,48,48,36
402,60,60,60,54,54,54,54,48,48,48,48,48,48,36,36
403,60,60,60,54,54,54,54,48,48,48,48,48,36,36,36
404,60,60,60,54,54,54,54,48,48,48,48,36,36,36,36
405,60,60,60,54,54,54,54,48,48,48,36,36,36,36,36
406,60,60,60,54,54,54,54,48,48,36,36,36,36,36,36
407,60,60,60,54,54,54,54,48,36,36,36,36,36,36,36
408,60,60,60,54,54,54,54,36,36,36,36,36,36,36,36
409,60,60,60,54,54,54,48,48,48,48,48,48,48,48,48
410,60,60,60,54,54,54,48,48,48,48,48,48,48,48,36
411,60,60,60,54,54,54,48,48,48,48,48,48,48,36,36
412,60,60,60,54,54,54,48,48,48,48,48,48,36,36,36
413,60,60,60,54,54,54,48,48,48,48,48,36,36,36,36
414,60,60,60,54,54,54,48,48,48,48,36,36,36,36,36
415,60,60,60,54,54,54,48,48,48,36,36,36,36,36,36
416,60,60,60,54,54,54,48,48,36,36,36,36,36,36,36
417,60,60,60,54,54,54,48,36,36,36,36,36,36,36,36
418,60,60,60,54,54,54,36,36,36,36,36,36,36,36,36
419,60,60,60,54,54,48,48,48,48,48,48,48,48,48,48
420,60,60,60,54,54,48,48,48,48,48,48,48,48,48,36
421,60,60,60,54,54,48,48,48,48,48,48,48,48,36,36
422,60,60,60,54,54,48,48,48,48,48,48,48,36,36,36
423,60,60,60,54,54,48,48,48,48,48,48,36,36,36,36
424,60,60,60,54,54,48,48,48,48,48,36,36,36,36,36
425,60,60,60,54,54,48,48,48,48,36,36,36,36,36,36
426,60,60,60,54,54,48,48,48,36,36,36,36,36,36,36
427,60,60,60,54,54,48,48,36,36,36,36,36,36,36,36
